name,hex
Anjou Pear,#ddac6d
Baked Clay,#c1785c
Reynard,#b46848
Armagnac,#c38058
Autumnal,#cd8c5d
Tassel,#c6884a
Honeycomb,#d59858
Ceremonial Gold,#d69e59
Red Cent,#ad654c
Pennywise,#a2583a
Truepenny,#b46c42
Tigereye,#bb7748
Saucy Gold,#b6743b
Gold Coast,#c78538
Golden Rule,#cc9249
Spicy Hue,#994b35
Sierra Redwood,#924e3c
Copper Mountain,#a6613c
Gingery,#b06c3e
Copper Pot,#b16a37
Butterscotch,#b67d3c
Cut the Mustard,#ba7f38
Realist Beige,#d3c8bd
Touch of Sand,#d5c7ba
Lightweight Beige,#dac8b8
Sand Dollar,#d7c5b3
Playa Arenosa,#dcc7b3
Tres Naturale,#dcc7ad
Kilim Beige,#d7c5ae
Diverse Beige,#c2b4a7
Cool Beige,#c6b5a7
Familiar Beige,#cab3a0
Practical Beige,#c9b29c
Ginger Root,#d2b79e
Quinoa,#cfb597
Nomadic Desert,#c7b198
Utterly Beige,#b5a597
Smoky Beige,#b9a796
Sensational Sand,#bfa38d
Sands of Time,#bca38b
Beige Intenso,#c5a88d
Farro,#c1a485
Latte,#baa185
Cocoa Whip,#a08e7e
Utaupeia,#a58f7b
Iced Mocha,#a3846c
Nearly Brown,#a88e76
Soft Fawn,#b59778
Woven Wicker,#b99974
Double Latte,#a78c71
Down Home,#907865
Llama Wool,#917864
Toasty,#957258
Portabello,#947a62
Baked Cookie,#89674a
Almond Roca,#a78361
Hopsack,#9e8163
Cobble Brown,#7a6455
Caraïbe,#785f4c
Jute Brown,#815d40
Tea Chest,#7d644d
Saddle Up,#725237
El Caramelo,#946e48
Steady Brown,#8a6b4d
Sable,#5f4b3f
Half-Caff,#604c3d
Sturdy Brown,#69482c
Kaffee,#65503d
Umber Rust,#765138
Über Umber,#7b5838
Coconut Husk,#70573f
Gusto Gold,#f8ac1d
Goldfinch,#fdb702
Decisive Yellow,#fdcc4e
Forsythia,#ffc801
Lemon Twist,#fed95d
Daisy,#fed340
Confident Yellow,#fecb01
Enjoyable Yellow,#f5d6a9
Banana Cream,#f5deaf
They call it Mellow,#fbe4b3
Friendly Yellow,#f5e0b1
Lantern Light,#f4e1ae
Glad Yellow,#f5e1ac
Pineapple Cream,#f2eac3
Afterglow,#f6cd8e
Jonquil,#f7d391
La Luna Amarilla,#fddfa0
Butter Up,#f6dda3
Solaria,#f5d68f
Midday,#f7d78a
Icy Lemonade,#f4e8b2
Sunrise,#f4bf77
Pollen Powder,#fbd187
Sunny Veranda,#fedf94
Naples Yellow,#f6d58f
Yellow Bird,#f1cd7b
Quilt Gold,#eac365
Venetian Yellow,#f6e3a1
Olden Amber,#eeb76b
Afternoon,#fbcb78
Honey Bees,#fbd682
June Day,#f6c973
Overjoy,#eec25f
Nugget,#dbb04a
Fun Yellow,#f7e594
Yarrow,#ebad5e
